fold,set,oof_index,sample_id
2,train,1,12779
2,train,2,62477
2,train,3,71400
2,train,4,18203
2,train,5,90587
2,train,7,79404
2,train,8,96036
2,train,9,33936
2,train,10,82321
2,train,11,85560
2,train,12,76396
2,train,13,52020
2,train,14,26493
2,train,15,28097
2,train,16,8517
2,train,18,17425
2,train,22,23403
2,train,23,9665
2,train,24,58418
2,train,25,34100
2,train,26,70331
2,train,27,48738
2,train,28,16544
2,train,29,87730
2,train,30,6070
2,train,31,44133
2,train,32,24656
2,train,33,21034
2,train,34,72712
2,train,35,53371
2,train,36,77244
2,train,37,45717
2,train,38,28171
2,train,39,79250
2,train,40,58603
2,train,42,98927
2,train,43,63115
2,train,44,31821
2,train,45,78461
2,train,47,95720
2,train,48,55664
2,train,49,21490
2,train,50,42219
2,train,51,58146
2,train,53,91721
2,train,55,91812
2,train,59,60926
2,train,60,40501
2,train,61,41826
2,train,62,24912
2,train,63,76039
2,train,65,59336
2,train,66,76749
2,train,68,82727
2,train,74,87248
2,train,75,42202
2,train,76,20665
2,train,77,72893
2,train,78,34317
2,train,79,21108
2,train,80,53650
2,train,81,76250
2,train,87,80160
2,train,88,76438
2,train,90,50366
2,train,91,79881
2,train,92,10154
2,train,93,19758
2,train,94,83454
2,train,96,87476
2,train,99,29577
2,train,100,30376
2,train,101,53588
2,train,102,57094
2,train,103,67191
2,train,104,11282
2,train,107,78235
2,train,108,63012
2,train,109,61627
2,train,110,67817
2,train,111,14294
2,train,115,20923
2,train,116,53435
2,train,117,63267
2,train,118,44736
2,train,119,61846
2,train,120,22018
2,train,121,88633
2,train,122,21813
2,train,124,33559
2,train,125,75837
2,train,126,72230
2,train,127,76576
2,train,128,30574
2,train,129,13927
2,train,130,48942
2,train,131,9213
2,train,132,4996
2,train,133,62302
2,train,136,69277
2,train,137,60021
2,train,138,84934
2,train,139,79526
2,train,140,96820
2,train,141,46440
2,train,142,38432
2,train,143,70224
2,train,144,66499
2,train,145,53323
2,train,147,8532
2,train,148,17782
2,train,149,12488
2,train,150,33322
2,train,151,74698
2,train,152,75554
2,train,153,44487
2,train,154,63251
2,train,155,21798
2,train,156,61413
2,train,157,77347
2,train,158,65995
2,train,159,95234
2,train,161,98964
2,train,163,95130
2,train,164,22953
2,train,165,76907
2,train,166,59676
2,train,167,24852
2,train,168,96318
2,train,169,24431
2,train,171,23517
2,train,174,33337
2,train,175,41445
2,train,177,98447
2,train,179,16092
2,train,182,87437
2,train,185,3125
2,train,186,33803
2,train,187,57694
2,train,188,48763
2,train,189,67210
2,train,191,45009
2,train,192,33531
2,train,193,42775
2,train,194,16315
2,train,195,12797
2,train,196,50006
2,train,197,8219
2,train,198,10976
2,train,199,77495
2,train,200,29543
2,train,201,83165
2,train,202,83565
2,train,203,46857
2,train,204,48722
2,train,205,60308
2,train,206,13052
2,train,207,30413
2,train,208,51685
2,train,209,9170
2,train,210,23911
2,train,211,94039
2,train,212,2409
2,train,214,65675
2,train,215,96970
2,train,216,57682
2,train,217,64602
2,train,219,69710
2,train,220,4447
2,train,221,24423
2,train,223,51356
2,train,224,36968
2,train,225,26626
2,train,226,93229
2,train,227,24053
2,train,228,13221
2,train,229,54054
2,train,230,86074
2,train,231,75714
2,train,232,83315
2,train,233,24002
2,train,234,36637
2,train,235,79921
2,train,236,24676
2,train,237,52499
2,train,238,87513
2,train,239,71682
2,train,240,91121
2,train,243,27561
2,train,244,30688
2,train,245,35880
2,train,247,53985
2,train,248,10061
2,train,249,47899
2,train,250,26320
2,train,251,14744
