fold,set,oof_index,sample_id
3,train,0,97426
3,train,1,12779
3,train,4,18203
3,train,5,90587
3,train,6,60331
3,train,7,79404
3,train,9,33936
3,train,14,26493
3,train,16,8517
3,train,17,93238
3,train,19,66652
3,train,20,72243
3,train,21,71313
3,train,22,23403
3,train,23,9665
3,train,24,58418
3,train,25,34100
3,train,27,48738
3,train,29,87730
3,train,30,6070
3,train,31,44133
3,train,32,24656
3,train,33,21034
3,train,34,72712
3,train,35,53371
3,train,37,45717
3,train,39,79250
3,train,40,58603
3,train,41,21486
3,train,42,98927
3,train,43,63115
3,train,44,31821
3,train,45,78461
3,train,46,19357
3,train,47,95720
3,train,49,21490
3,train,50,42219
3,train,51,58146
3,train,52,75558
3,train,53,91721
3,train,54,24337
3,train,55,91812
3,train,56,15143
3,train,57,30838
3,train,58,28646
3,train,59,60926
3,train,61,41826
3,train,62,24912
3,train,64,27280
3,train,65,59336
3,train,67,41309
3,train,68,82727
3,train,69,89018
3,train,70,21956
3,train,71,65524
3,train,72,45819
3,train,73,67403
3,train,74,87248
3,train,75,42202
3,train,76,20665
3,train,77,72893
3,train,78,34317
3,train,79,21108
3,train,82,33127
3,train,83,58977
3,train,84,67733
3,train,85,59196
3,train,86,21650
3,train,87,80160
3,train,88,76438
3,train,89,35914
3,train,90,50366
3,train,92,10154
3,train,93,19758
3,train,95,42710
3,train,96,87476
3,train,97,25000
3,train,98,55274
3,train,99,29577
3,train,100,30376
3,train,101,53588
3,train,102,57094
3,train,103,67191
3,train,104,11282
3,train,105,28151
3,train,106,55528
3,train,107,78235
3,train,108,63012
3,train,110,67817
3,train,112,22906
3,train,113,19022
3,train,114,96496
3,train,116,53435
3,train,117,63267
3,train,118,44736
3,train,119,61846
3,train,121,88633
3,train,123,51861
3,train,125,75837
3,train,127,76576
3,train,129,13927
3,train,130,48942
3,train,131,9213
3,train,133,62302
3,train,134,86068
3,train,135,55988
3,train,136,69277
3,train,137,60021
3,train,138,84934
3,train,139,79526
3,train,141,46440
3,train,142,38432
3,train,143,70224
3,train,146,43608
3,train,147,8532
3,train,148,17782
3,train,149,12488
3,train,150,33322
3,train,151,74698
3,train,152,75554
3,train,153,44487
3,train,154,63251
3,train,155,21798
3,train,156,61413
3,train,157,77347
3,train,158,65995
3,train,159,95234
3,train,160,25778
3,train,161,98964
3,train,162,50283
3,train,163,95130
3,train,164,22953
3,train,165,76907
3,train,166,59676
3,train,167,24852
3,train,168,96318
3,train,169,24431
3,train,170,11571
3,train,171,23517
3,train,172,48263
3,train,173,18668
3,train,174,33337
3,train,175,41445
3,train,176,29476
3,train,178,75591
3,train,179,16092
3,train,180,8817
3,train,181,36339
3,train,182,87437
3,train,183,35426
3,train,184,11554
3,train,185,3125
3,train,186,33803
3,train,187,57694
3,train,188,48763
3,train,189,67210
3,train,190,34740
3,train,191,45009
3,train,193,42775
3,train,194,16315
3,train,196,50006
3,train,197,8219
3,train,198,10976
3,train,199,77495
3,train,201,83165
3,train,203,46857
3,train,204,48722
3,train,205,60308
3,train,207,30413
3,train,208,51685
3,train,210,23911
3,train,211,94039
3,train,212,2409
3,train,213,43469
3,train,215,96970
3,train,217,64602
3,train,218,74116
3,train,219,69710
3,train,220,4447
3,train,222,62366
3,train,224,36968
3,train,225,26626
3,train,226,93229
3,train,227,24053
3,train,228,13221
3,train,229,54054
3,train,231,75714
3,train,232,83315
3,train,233,24002
3,train,236,24676
3,train,237,52499
3,train,238,87513
3,train,240,91121
3,train,241,55084
3,train,242,68272
3,train,244,30688
3,train,246,30469
3,train,247,53985
3,train,248,10061
3,train,249,47899
3,train,251,14744
3,train,253,17494
3,train,254,65924
3,train,255,88645
3,train,256,2317
3,train,258,5367
3,train,259,65297
3,train,261,45469
3,train,262,59906
3,train,267,19609
3,train,269,24983
3,train,271,91285
3,train,272,26914
3,train,273,95041
3,train,274,61871
3,train,275,69417
3,train,276,49008
3,train,277,30988
3,train,279,13001
3,train,280,44415
3,train,281,98629
3,train,282,58434
3,train,283,53719
3,train,285,19496
3,train,286,72449
3,train,287,48482
3,train,289,81718
3,train,290,51579
3,train,291,23822
3,train,292,91378
3,train,293,68057
3,train,295,78746
3,train,296,52481
3,train,297,30961
3,train,299,16887
3,train,300,83936
3,train,301,76403
3,train,302,96069
3,train,303,59068
3,train,304,24975
3,train,305,49220
3,train,306,39314
3,train,307,42925
3,train,308,63152
3,train,310,4739
3,train,311,10173
3,train,312,26076
3,train,313,73889
3,train,314,71829
3,train,315,2728
3,train,316,30054
3,train,317,4738
3,train,318,48541
3,train,319,60011
3,train,320,64556
3,train,321,1800
3,train,322,5077
3,train,323,92463
3,train,324,30616
3,train,325,92026
3,train,327,98307
3,train,328,25971
3,train,329,95044
3,train,330,78546
3,train,331,60238
3,train,332,81349
3,train,333,29321
3,train,334,51043
3,train,335,10657
3,train,336,82839
3,train,337,6440
3,train,338,4099
3,train,339,13330
3,train,340,23785
3,train,342,13477
3,train,344,39172
3,train,346,21245
3,train,347,84535
3,train,348,3386
3,train,349,1002
3,train,350,79446
3,train,352,7676
3,train,354,27707
3,train,355,38846
3,train,356,88131
3,train,358,85567
3,train,359,79864
3,train,360,61382
3,train,362,64844
3,train,363,92613
3,train,364,73559
3,train,365,12247
3,train,366,3402
3,train,367,80574
3,train,369,8127
3,train,370,40256
3,train,371,5796
3,train,373,27387
3,train,375,4906
3,train,378,41777
3,train,379,92565
3,train,380,79690
3,train,381,84455
3,train,384,37827
3,train,385,48434
3,train,386,38829
3,train,387,2862
3,train,388,86620
3,train,389,89343
3,train,390,60148
3,train,392,93175
3,train,393,24646
3,train,394,91934
3,train,395,83968
3,train,396,66378
3,train,397,75875
3,train,398,12475
3,train,399,96846
3,train,400,19505
3,train,401,53358
3,train,402,19769
3,train,403,29644
3,train,404,38308
3,train,405,64466
3,train,407,43023
3,train,408,80582
3,train,410,92842
3,train,411,90493
3,train,412,9266
3,train,413,72388
3,train,415,24591
3,train,416,53906
3,train,418,25321
3,train,419,5231
3,train,421,7366
3,train,423,22672
3,train,424,51192
3,train,425,81488
3,train,426,92931
3,train,427,96152
3,train,428,49069
3,train,429,70128
3,train,430,28341
3,train,431,89082
3,train,433,95028
3,train,434,75532
3,train,436,81888
3,train,437,555
3,train,438,24173
3,train,439,15080
3,train,440,85418
3,train,441,6036
3,train,442,77555
3,train,443,44312
3,train,444,87272
3,train,445,51237
3,train,446,28272
3,train,447,79349
3,train,448,30415
3,train,449,73484
3,train,450,68151
3,train,451,3304
3,train,452,42136
3,train,453,51121
3,train,455,72573
3,train,456,31603
3,train,459,15181
3,train,461,13904
3,train,462,35392
3,train,463,79662
3,train,464,8025
3,train,465,48903
3,train,466,64597
3,train,467,35462
3,train,468,62804
3,train,470,9879
3,train,471,93436
3,train,472,31712
3,train,473,2661
3,train,474,15690
3,train,476,40006
3,train,477,64343
3,train,478,30353
3,train,479,1073
3,train,480,12470
3,train,481,58663
3,train,482,2169
3,train,483,9545
3,train,484,19320
3,train,485,6800
3,train,487,32508
3,train,488,66619
3,train,489,49029
3,train,490,26329
3,train,491,81478
3,train,492,27939
3,train,493,96455
3,train,494,63408
3,train,495,93716
3,train,496,43271
3,train,497,4591
3,train,498,14171
3,train,499,1827
3,train,500,83075
3,train,502,2604
3,train,504,29084
3,train,505,18461
3,train,506,10988
3,train,508,53013
3,train,509,48951
3,train,510,42230
3,train,511,73766
3,train,512,8725
3,train,514,98326
3,train,515,18008
3,train,516,37625
3,train,518,83793
3,train,519,87738
3,train,520,43105
3,train,521,86882
3,train,522,98461
3,train,523,66617
3,train,524,86917
3,train,526,29285
3,train,527,87645
3,train,528,48901
3,train,529,14295
3,train,531,38670
3,train,532,77199
3,train,533,44964
3,train,534,30120
3,train,535,33886
3,train,536,1444
3,train,537,43507
3,train,538,56807
3,train,539,28178
3,train,540,48872
3,train,541,85196
3,train,542,20985
3,train,543,5558
3,train,545,50220
3,train,546,28481
3,train,547,62776
3,train,548,15858
3,train,549,87168
3,train,550,59475
3,train,551,50604
3,train,553,35555
3,train,555,18291
3,train,556,5759
3,train,557,45726
3,train,558,82726
3,train,559,9937
3,train,561,54518
3,train,562,19677
3,train,563,2392
3,train,564,74468
3,train,565,5307
3,train,566,29485
3,train,567,7204
3,train,568,46401
3,train,570,65138
3,train,571,78381
3,train,574,74861
3,train,575,33112
3,train,576,31406
3,train,577,97478
3,train,578,93945
3,train,579,75537
3,train,580,56585
3,train,581,36642
3,train,582,977
3,train,583,38166
3,train,584,77167
3,train,585,75636
3,train,586,6397
3,train,587,13677
3,train,588,7661
3,train,589,88717
3,train,591,41646
3,train,592,40732
3,train,593,73290
3,train,595,90614
3,train,596,75981
3,train,597,74227
3,train,598,88962
3,train,600,66876
3,train,601,51918
3,train,602,8486
3,train,604,66881
3,train,605,1128
3,train,606,52486
3,train,607,42910
3,train,608,18705
3,train,609,88118
3,train,610,18850
3,train,611,98702
3,train,612,79920
3,train,613,90806
3,train,615,79563
3,train,616,18796
3,train,617,903
3,train,618,73208
3,train,619,64374
3,train,620,56787
3,train,621,81861
3,train,622,46737
3,train,623,84998
3,train,624,13999
3,train,625,68758
3,train,627,70221
3,train,628,93634
3,train,631,84193
3,train,632,77301
3,train,633,98756
3,train,634,20876
3,train,636,45735
3,train,637,14809
3,train,638,1949
3,train,639,42989
3,train,640,91399
3,train,644,53194
3,train,645,82973
3,train,648,83492
3,train,649,61001
3,train,650,40113
3,train,651,35882
3,train,652,60892
3,train,653,66173
3,train,654,85702
3,train,655,10923
3,train,657,64647
3,train,658,43457
3,train,660,35660
3,train,663,51015
3,train,664,81099
3,train,665,38639
3,train,667,92501
3,train,668,2374
3,train,670,69600
3,train,671,75234
3,train,672,88881
3,train,674,2203
3,train,675,41910
3,train,676,9644
3,train,677,81217
3,train,678,71697
3,train,680,27413
3,train,681,14268
3,train,682,25544
3,train,685,45211
3,train,686,31592
3,train,687,42940
3,train,688,62158
3,train,689,18446
3,train,691,80920
3,train,693,98929
3,train,694,26744
3,train,696,7500
3,train,697,66522
3,train,699,12695
3,train,700,93068
3,train,701,7920
3,train,703,51993
3,train,704,31304
3,train,706,3943
3,train,707,64008
3,train,710,55427
3,train,712,46837
3,train,713,55248
3,train,714,52266
3,train,715,27129
3,train,718,78060
3,train,719,52648
3,train,720,68390
3,train,721,5898
3,train,722,53800
3,train,724,43491
3,train,725,60987
3,train,726,40430
3,train,728,92202
3,train,729,41338
3,train,730,63811
3,train,731,40670
3,train,732,52345
3,train,733,2293
3,train,736,52903
3,train,738,17424
3,train,739,18427
3,train,740,84984
3,train,741,40500
3,train,744,67116
3,train,745,76643
3,train,746,39826
3,train,747,22045
3,train,748,39190
3,train,749,20153
3,train,750,35764
3,train,752,85656
3,train,753,47957
3,train,754,88801
3,train,755,51941
3,train,758,88413
3,train,759,6071
3,train,760,45072
3,train,762,76235
3,train,763,19242
3,train,764,11326
3,train,765,65045
3,train,766,71793
3,train,767,34451
3,train,768,71874
3,train,769,37281
3,train,770,23141
3,train,771,96128
3,train,772,50980
3,train,774,49616
3,train,775,60415
3,train,777,78743
3,train,778,42600
3,train,780,54565
3,train,781,22117
3,train,782,59987
3,train,784,66298
3,train,785,35201
3,train,787,36295
3,train,788,24392
3,train,789,18810
3,train,790,43930
3,train,791,59123
3,train,792,30802
3,train,793,92400
3,train,794,10079
3,train,795,26672
3,train,796,6084
3,train,797,59307
3,train,798,69649
3,train,800,33795
3,train,803,50774
3,train,804,62372
3,train,805,68269
3,train,806,83412
3,train,807,80663
3,train,808,531
3,train,809,3128
3,train,810,57529
3,train,811,400
3,train,812,81119
3,train,813,95072
3,train,814,23318
3,train,815,62370
3,train,816,81742
3,train,817,32003
3,train,818,65339
3,train,819,7532
3,train,820,1850
3,train,821,99930
3,train,823,76357
3,train,824,33275
3,train,826,73994
3,train,827,14901
3,train,828,59369
3,train,829,78841
3,train,830,37712
3,train,831,27181
3,train,832,60734
3,train,834,43802
3,train,835,57729
3,train,836,450
3,train,837,91734
3,train,838,47337
3,train,839,6536
3,train,840,10305
3,train,841,90794
3,train,842,81002
3,train,843,21431
3,train,844,44025
3,train,846,34801
3,train,847,22661
3,train,848,10878
3,train,849,2061
3,train,850,58195
3,train,851,11201
3,train,854,54576
3,train,855,40900
3,train,856,49431
3,train,857,1708
3,train,858,39797
3,train,859,10073
3,train,860,12011
3,train,861,32992
3,train,862,94275
3,train,863,63046
3,train,864,38959
3,train,866,32609
3,train,867,67620
3,train,868,8427
3,train,869,68514
3,train,871,77046
3,train,874,59403
3,train,875,34240
3,train,876,88453
3,train,877,9585
3,train,878,18399
3,train,879,84445
3,train,880,61702
3,train,881,22649
3,train,882,71491
3,train,883,64237
3,train,884,77291
3,train,885,87403
3,train,886,93312
3,train,888,13110
3,train,889,37744
3,train,890,30309
3,train,891,87274
3,train,893,92483
3,train,894,62340
3,train,895,8347
3,train,896,93879
3,train,897,71773
3,train,898,40261
3,train,900,29880
3,train,901,79868
3,train,902,7376
3,train,903,62388
3,train,904,56066
3,train,905,27165
3,train,906,67803
3,train,907,72422
3,train,908,420
3,train,909,53043
3,train,910,90341
3,train,912,61304
3,train,914,35907
3,train,915,61456
3,train,916,87697
3,train,917,97429
3,train,918,58473
3,train,919,90692
3,train,920,75892
3,train,921,97643
3,train,922,92652
3,train,923,3190
3,train,924,33622
3,train,925,17303
3,train,926,76877
3,train,927,83887
3,train,928,82413
3,train,929,51440
3,train,930,80348
3,train,931,25103
3,train,932,94829
3,train,933,77318
3,train,934,11904
3,train,937,93356
3,train,938,87597
3,train,939,54067
3,train,940,40939
3,train,945,65728
3,train,946,84913
3,train,948,25238
3,train,949,96028
3,train,950,24743
3,train,951,32602
3,train,952,24581
3,train,953,65715
3,train,954,15542
3,train,955,55201
3,train,956,1083
3,train,957,65473
3,train,958,34963
3,train,959,33371
3,train,960,36390
3,train,961,7501
3,train,962,35046
3,train,963,8889
3,train,964,12401
3,train,965,63845
3,train,967,19843
3,train,968,38484
3,train,969,78940
3,train,971,14652
3,train,972,22269
3,train,973,33032
3,train,974,53083
3,train,976,50728
3,train,977,5408
3,train,979,83807
3,train,981,87295
3,train,982,92668
3,train,983,55954
3,train,984,8873
3,train,985,49749
3,train,986,48838
3,train,987,47680
3,train,988,3267
3,train,989,82501
3,train,990,80185
3,train,991,32012
3,train,992,53103
3,train,993,41261
3,train,994,49578
3,train,995,27240
3,train,996,67106
3,train,997,95923
3,train,999,40837
3,train,1000,48878
3,train,1001,43046
3,train,1002,88229
3,train,1003,1741
3,train,1004,72666
3,train,1005,46254
3,train,1006,210
3,train,1008,90883
3,train,1010,70910
3,train,1011,45578
3,train,1013,37441
3,train,1016,39051
3,train,1019,81408
3,train,1020,12790
3,train,1021,42057
3,train,1022,11145
3,train,1023,58413
3,train,1024,38748
3,train,1026,38744
3,train,1028,30716
3,train,1029,61108
3,train,1030,61032
3,train,1031,9887
3,train,1033,56370
3,train,1034,34052
3,train,1036,78372
3,train,1037,24677
3,train,1038,46186
3,train,1039,88747
3,train,1040,81601
3,train,1041,46710
3,train,1042,60806
3,train,1043,99639
3,train,1044,71880
3,train,1045,85588
3,train,1046,13408
3,train,1047,56255
3,train,1048,38262
3,train,1050,50164
3,train,1051,33405
3,train,1052,83017
3,train,1053,39032
3,train,1054,53236
3,train,1055,29903
3,train,1056,87842
3,train,1057,45169
3,train,1059,85312
3,train,1060,46826
3,train,1061,70195
3,train,1062,90926
3,train,1063,31165
3,train,1064,19404
3,train,1065,453
3,train,1066,89066
3,train,1067,39096
3,train,1068,28957
3,train,1070,31572
3,train,1071,51761
3,train,1072,41788
3,train,1073,72711
3,train,1074,70187
3,train,1075,43571
3,train,1076,12651
3,train,1078,30158
3,train,1079,53331
3,train,1080,35582
3,train,1081,71883
3,train,1082,28446
3,train,1084,32106
3,train,1085,38760
3,train,1086,58692
3,train,1088,94554
3,train,1089,68163
3,train,1090,51233
3,train,1091,38915
3,train,1092,39176
3,train,1095,2678
3,train,1097,84871
3,train,1098,21212
3,train,1099,71528
3,train,1100,10493
3,train,1102,584
3,train,1103,75088
3,train,1104,37740
3,train,1106,56653
3,train,1108,96858
3,train,1109,64690
3,train,1111,10333
3,train,1112,59847
3,train,1115,67829
3,train,1116,41374
3,train,1118,28485
3,train,1119,21441
3,train,1122,86227
3,train,1123,32177
3,train,1124,21953
3,train,1125,91524
3,train,1127,72448
3,train,1128,89126
3,train,1129,14804
3,train,1130,44963
3,train,1132,1573
3,train,1133,33046
3,train,1135,26081
3,train,1136,22087
3,train,1137,86031
3,train,1138,60612
3,train,1140,3188
3,train,1141,48068
3,train,1142,14374
3,train,1143,88115
3,train,1144,27794
3,train,1145,71614
3,train,1146,55763
3,train,1147,11755
3,train,1150,53971
3,train,1151,28799
3,train,1152,56835
3,train,1153,1133
3,train,1154,76422
3,train,1155,64578
3,train,1156,64815
3,train,1157,65425
3,train,1158,68068
3,train,1159,87799
3,train,1160,7508
3,train,1162,2325
3,train,1163,47892
3,train,1164,44502
3,train,1165,64346
3,train,1166,53424
3,train,1167,36985
3,train,1168,28480
3,train,1169,92418
3,train,1173,32913
3,train,1174,24308
3,train,1175,20958
3,train,1176,18204
3,train,1177,71715
3,train,1178,62453
3,train,1179,58871
3,train,1180,14516
3,train,1181,45241
3,train,1182,692
3,train,1184,37597
3,train,1185,10146
3,train,1186,78605
3,train,1187,38938
3,train,1188,25576
3,train,1190,49044
3,train,1191,90617
3,train,1192,47663
3,train,1194,16632
3,train,1195,58103
3,train,1196,93409
3,train,1197,22609
3,train,1198,10391
3,train,1199,53947
3,train,1200,92131
3,train,1201,70703
3,train,1202,86862
3,train,1203,50893
3,train,1204,98275
3,train,1205,2694
3,train,1207,47942
3,train,1208,9439
3,train,1209,27978
3,train,1210,14788
3,train,1211,40579
3,train,1212,57174
3,train,1213,34400
3,train,1216,50310
3,train,1217,1084
3,train,1218,59376
3,train,1219,68091
3,train,1220,4732
3,train,1221,42076
3,train,1222,81870
3,train,1223,33908
3,train,1224,41333
3,train,1226,73277
3,train,1227,70554
3,train,1228,73415
3,train,1229,24947
3,train,1230,83494
3,train,1231,82952
3,train,1232,78653
3,train,1233,20316
3,train,1234,75706
3,train,1235,42718
3,train,1237,28074
3,train,1238,23860
3,train,1239,35409
3,train,1240,51576
3,train,1241,24960
3,train,1242,10424
3,train,1243,11368
3,train,1244,73323
3,train,1245,49166
3,train,1247,58884
3,train,1248,95679
3,train,1249,38401
3,train,1250,95358
3,train,1251,91646
3,train,1252,97214
3,train,1254,16951
3,train,1256,40521
3,train,1257,4034
3,train,1260,86892
3,train,1261,81956
3,train,1262,47096
3,train,1263,54172
3,train,1264,29330
3,train,1265,1453
3,train,1267,36335
3,train,1268,67272
3,train,1269,88146
3,train,1270,76597
3,train,1271,7368
3,train,1272,53769
3,train,1273,70649
3,train,1274,13526
3,train,1275,7146
3,train,1276,30679
3,train,1277,12850
3,train,1279,77304
3,train,1280,58629
3,train,1281,13208
3,train,1282,14391
3,train,1283,54460
3,train,1284,79185
3,train,1285,7740
3,train,1286,55319
3,train,1287,87684
3,train,1289,31491
3,train,1290,63529
3,train,1291,93010
3,train,1292,18932
